canonical_name,normalized_name,aliases,primary_competition,competition_source,logo_path,country,review_status,confidence,notes
Argelia,argelia,Argelia|argelia,Selecciones,CURATED_NATIONAL_TEAM,,Algeria,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Angola,angola,Angola|angola,Selecciones,CURATED_NATIONAL_TEAM,,Angola,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Boca Juniors,bocajuniors,Boca Juniors|bocajuniors,Argentine Primera División,CURATED_TEAM_CATALOG,,Argentina,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
River Plate,riverplate,River Plate|riverplate,Argentine Primera División,CURATED_TEAM_CATALOG,,Argentina,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Rosario Central,rosariocentral,Rosario Central|rosariocentral,Argentine Primera División,CURATED_TEAM_CATALOG,,Argentina,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Argentina,argentina,argentina|Argentina,Selecciones,CURATED_NATIONAL_TEAM,,Argentina,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=34
Noah,noah,Noah|noah,Armenian Premier League,CURATED_TEAM_CATALOG,,Armenia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Armenia,armenia,Armenia|armenia,Selecciones,CURATED_NATIONAL_TEAM,,Armenia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=30
Australia,australia,Australia|australia|AUS,Selecciones,CURATED_NATIONAL_TEAM,,Australia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=18
Australia FEM,australiafem,Australia FEM|australiafem,Selecciones,CURATED_NATIONAL_TEAM,,Australia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Salzburgo,salzburgo,salzburgo|Salzburgo,Austrian Bundesliga,CURATED_TEAM_CATALOG,,Austria,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=110
Rapid Viena,rapidviena,Rapid Viena|rapidviena,Austrian Bundesliga,CURATED_TEAM_CATALOG,,Austria,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=20
Sturm Graz,sturmgraz,Sturm Graz|sturmgraz,Austrian Bundesliga,CURATED_TEAM_CATALOG,,Austria,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=12
Austria Wien,austriawien,Austria Wien|austriawien,Austrian Bundesliga,CURATED_TEAM_CATALOG,,Austria,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Lask Linz,lasklinz,Lask Linz|lasklinz,Austrian Bundesliga,CURATED_TEAM_CATALOG,,Austria,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Austria Viena,austriaviena,Austria Viena|austriaviena,Austrian Bundesliga,CURATED_TEAM_CATALOG,,Austria,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Austria,austria,Austria|austria,Selecciones,CURATED_NATIONAL_TEAM,,Austria,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=82
Austria S21,austrias21,Austria S21|austrias21,Selecciones,CURATED_NATIONAL_TEAM,,Austria,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Qarabag,qarabag,qarabag|Qarabag,Azerbaijan Premier League,CURATED_TEAM_CATALOG,,Azerbaijan,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=34
Azerbaiyán,azerbaiyan,azerbaiyan|Azerbaiyán,Selecciones,CURATED_NATIONAL_TEAM,,Azerbaijan,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=12
Bate Borisov,bateborisov,Bate Borisov|bateborisov,Belarusian Premier League,CURATED_TEAM_CATALOG,,Belarus,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=50
Shakhtar Soligorsk,shakhtarsoligorsk,Shakhtar Soligorsk|shakhtarsoligorsk,Belarusian Premier League,CURATED_TEAM_CATALOG,,Belarus,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=22
Minsk FEM,minskfem,Minsk FEM|minskfem,Belarusian Premier League,CURATED_TEAM_CATALOG,,Belarus,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Bielorrusia,bielorrusia,Bielorrusia|bielorrusia,Selecciones,CURATED_NATIONAL_TEAM,,Belarus,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=28
Brugge kV,bruggekv,Brugge kV|bruggekv,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=90
Anderlecht,anderlecht,anderlecht|Anderlecht,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=88
