date,season,normalized_season,round_number,match_number,home_team,away_team,home_goals,away_goals,official_sign,is_pleno15,official_round_id,match_id,home_team_raw,away_team_raw,home_team_normalized,away_team_normalized,home_team_canonical,away_team_canonical,mapping_status,competition,competition_type,data_quality,source,status,has_pleno15,total_matches,result_by_draw,kickoff,imported_at,prize_info_available,revenue_available
2008-08-31,2008-2009,2008-2009,1,1,Athletic de Bilbao,Almería,1,3,2,false,official-2008-2009-1,official-2008-2009-1-1,Athletic de Bilbao,Almería,athletic,almeria,Athletic Club,Almeria,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-08-31,2008-2009,2008-2009,1,2,Atlético de Madrid,Málaga,4,0,1,false,official-2008-2009-1,official-2008-2009-1-2,Atlético de Madrid,Málaga,atleticomadrid,malaga,Atletico Madrid,Malaga,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-08-31,2008-2009,2008-2009,1,3,Espanyol,Valladolid,1,0,1,false,official-2008-2009-1,official-2008-2009-1-3,Espanyol,Valladolid,espanyol,valladolid,Espanyol,Valladolid,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-08-31,2008-2009,2008-2009,1,4,Betis,Recreativo,0,1,2,false,official-2008-2009-1,official-2008-2009-1-4,Betis,Recreativo,betis,recreativo,Betis,Recreativo,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-08-31,2008-2009,2008-2009,1,5,Sporting de Gijón,Getafe,1,2,2,false,official-2008-2009-1,official-2008-2009-1-5,Sporting de Gijón,Getafe,sporting,getafe,Sporting,Getafe,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-08-31,2008-2009,2008-2009,1,6,Racing De Santander,Sevilla,1,1,X,false,official-2008-2009-1,official-2008-2009-1-6,Racing De Santander,Sevilla,racingsantander,sevilla,Racing Santander,Sevilla,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-08-31,2008-2009,2008-2009,1,7,Numancia,Barcelona,1,0,1,false,official-2008-2009-1,official-2008-2009-1-7,Numancia,Barcelona,numancia,barcelona,Numancia,Barcelona,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-08-31,2008-2009,2008-2009,1,8,Osasuna,Villarreal,1,1,X,false,official-2008-2009-1,official-2008-2009-1-8,Osasuna,Villarreal,osasuna,villarreal,Osasuna,Villarreal,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-08-31,2008-2009,2008-2009,1,9,Valencia,Mallorca,3,0,1,false,official-2008-2009-1,official-2008-2009-1-9,Valencia,Mallorca,valencia,mallorca,Valencia,Mallorca,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-08-31,2008-2009,2008-2009,1,10,Real Sociedad,Las Palmas,1,0,1,false,official-2008-2009-1,official-2008-2009-1-10,Real Sociedad,Las Palmas,realsociedad,laspalmas,Real Sociedad,Las Palmas,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-08-31,2008-2009,2008-2009,1,11,Levante,R. Zaragoza,2,1,1,false,official-2008-2009-1,official-2008-2009-1-11,Levante,R. Zaragoza,levante,zaragoza,Levante,Zaragoza,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-08-31,2008-2009,2008-2009,1,12,Rayo Vallecano,Ucam Murcia,1,0,1,false,official-2008-2009-1,official-2008-2009-1-12,Rayo Vallecano,Ucam Murcia,rayovallecano,ucammurcia,Rayo Vallecano,UCAM Murcia,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-08-31,2008-2009,2008-2009,1,13,Córdoba,Hércules,0,3,2,false,official-2008-2009-1,official-2008-2009-1-13,Córdoba,Hércules,cordoba,hercules,Cordoba,Hércules,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-08-31,2008-2009,2008-2009,1,14,Celta,Girona,0,1,2,false,official-2008-2009-1,official-2008-2009-1-14,Celta,Girona,celta,girona,Celta,Girona,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-08-31,2008-2009,2008-2009,1,15,Deportivo,Real Madrid,2,1,1,true,official-2008-2009-1,official-2008-2009-1-15,Deportivo,Real Madrid,deportivo,realmadrid,Deportivo,Real Madrid,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-08-31T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,1,España,Bosnia-Herzegovina,1,0,1,false,official-2008-2009-2,official-2008-2009-2-1,España,Bosnia-Herzegovina,espana,bosniaherzegovina,España,Bosnia-Herzegovina,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,2,Hungría,Dinamarca,0,0,X,false,official-2008-2009-2,official-2008-2009-2-2,Hungría,Dinamarca,hungria,dinamarca,Hungría,Dinamarca,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,3,Austria,Francia,3,1,1,false,official-2008-2009-2,official-2008-2009-2-3,Austria,Francia,austria,francia,Austria,Francia,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
